co2,trade_co2,oil_co2,gas_co2,flaring_co2,coal_co2,cement_co2,consumption_co2,other_industry_co2,gdp
1436.239,,374.993,88.812,,963.92,6.9,,1.614,1100529926144.0
1492.321,,405.206,96.294,,982.156,6.684,,1.98,1237782364160.0
1713.412,,448.356,108.813,,1143.798,9.95,,2.494,1359902408704.0
1792.61,,513.635,120.942,,1144.951,10.368,,2.714,1462308700160.0
1515.75,,482.196,115.32,,906.794,9.239,,2.201,1373407805440.0
1670.92,,508.158,124.122,,1024.988,10.792,,2.861,1469481091072.0
1874.985,,557.62,133.707,,1168.882,11.549,,3.227,1592319803392.0
2043.585,,588.735,141.533,,1294.762,14.52,,4.034,1815098556416.0
2198.265,,565.693,153.855,,1458.597,16.085,,4.034,2013171023872.0
2272.059,,612.936,171.952,,1470.803,12.041,,4.328,2203245608960.0
2444.904,,700.12,186.574,,1545.85,8.032,,4.328,2361835388928.0
2359.552,,727.377,197.676,,1421.423,9.114,,3.961,2314667819008.0
2257.494,,737.018,203.103,,1298.758,14.653,,3.961,2103900897280.0
2485.854,,791.342,224.086,,1449.231,16.647,,4.548,2070709141504.0
2582.559,,874.345,251.765,,1433.19,18.417,,4.841,2168923357184.0
2164.862,,813.723,265.068,,1063.102,18.788,,4.181,2126235566080.0
2541.485,,896.801,319.219,43.122,1257.232,20.125,,4.988,2320610099200.0
2618.711,,960.662,376.209,42.7,1211.599,22.041,,5.501,2497407877120.0
2551.219,,1000.967,402.787,45.683,1074.173,22.256,,5.355,2590801395712.0
2612.971,,1050.079,423.342,43.62,1065.955,23.521,,6.455,2709832597504.0
2489.462,,1063.212,444.0,38.952,913.446,24.131,,5.721,2691885432832.0
2728.512,,1147.903,479.19,41.645,1026.222,26.584,,6.968,2882221637632.0
2859.995,,1203.787,505.889,46.529,1068.358,28.39,,7.042,2938405650432.0
2835.772,,1193.662,540.645,43.558,1024.081,27.006,,6.822,2993553408000.0
2747.108,,1220.046,570.701,34.097,888.344,27.758,,6.161,2963550502912.0
2831.923,,1258.457,593.21,30.756,910.978,30.234,,8.289,3183156920320.0
2897.315,,1281.631,630.025,30.316,917.964,28.798,,8.582,3262376312832.0
2886.873,,1297.316,636.415,28.198,887.443,28.699,,8.802,3338584195072.0
2993.902,,1334.748,676.367,22.922,920.818,29.878,,9.169,3539745112064.0
3126.488,,1359.256,718.455,20.65,987.008,31.435,,9.682,3692868403200.0
3264.313,,1393.919,759.072,18.412,1049.177,33.026,,10.709,3906859958272.0
3399.547,,1464.691,782.605,17.188,1090.619,33.295,,11.149,4156141338624.0
3571.421,,1529.661,842.207,20.233,1132.718,34.573,,12.029,4428300025856.0
3705.461,,1589.194,881.284,26.384,1163.049,33.594,,11.956,4538979319808.0
3840.919,,1689.423,936.361,27.817,1139.603,35.32,,12.396,4754925682688.0
4035.145,,1781.627,1018.083,28.315,1158.0,35.697,,13.423,4903769997312.0
4339.686,,2038.082,1059.211,26.249,1168.091,34.924,,13.13,4912635707392.0
4365.465,,2097.305,1096.927,15.261,1107.406,35.51,,13.056,5065682190336.0
4573.015,,2269.174,1115.673,13.308,1124.841,36.523,,13.496,5334296952832.0
4785.434,,2325.281,1175.252,13.187,1220.714,36.917,,14.083,5637202771968.0
4621.419,,2227.39,1134.594,8.9,1199.352,36.806,,14.377,5621366128640.0
4478.563,,2190.27,1042.853,7.112,1195.102,30.463,,12.763,5605794775040.0
4748.111,,2350.496,1063.161,7.339,1281.249,32.37,,13.496,5899591090176.0
4889.953,,2478.228,1041.406,7.262,1315.802,33.979,,13.276,6166912434176.0
4941.708,,2524.557,1045.577,8.123,1314.266,35.616,,13.57,6518624223232.0
5008.956,,2441.816,1080.846,8.867,1427.55,35.94,,13.936,6740172603392.0
4808.877,,2244.35,1058.408,6.69,1453.891,32.922,,12.616,6743208230912.0
4686.743,,2101.535,1032.434,5.232,1503.037,31.962,,12.543,6911865389056.0
4447.602,,1994.366,961.223,4.99,1449.193,28.441,,9.389,6782206345216.0
4429.711,,1977.975,901.395,5.089,1504.91,30.44,,9.902,7066236747776.0
4662.488,,2034.424,962.574,5.789,1616.224,32.915,,10.562,7581108011008.0
4652.938,,2023.738,926.826,5.1,1655.15,31.708,,10.416,7874872344576.0
4663.711,,2111.99,868.157,5.243,1635.859,32.854,,9.609,8146027806720.0
4826.013,,2143.02,923.281,6.632,1709.615,32.976,,10.489,8432566927360.0
5050.858,,2241.04,964.695,7.643,1792.863,33.248,,11.369,8787202670592.0
5132.543,,2239.66,1027.299,7.595,1813.282,33.264,,11.443,9091291283456.0
5120.957,-74.652,2178.622,1023.425,46.339,1814.537,33.484,5046.305,24.55,9250377039872.0
5062.957,-103.833,2120.971,1042.436,45.348,1797.157,32.736,4959.124,24.308,9224687976448.0
5174.228,-27.997,2174.379,1080.4,45.015,1817.281,32.993,5146.23,24.159,9552658432000.0
